92/7047,assoc/5
39/1526,assoc/6
77/4424,assoc/6
70/6008,assoc/1
67/624,assoc/1
141/5918,assoc/6
14/3766,assoc/8
60/397,assoc/2
47/6517,assoc/8
148/7604,assoc/5
85/5373,assoc/8
47/2382,assoc/5
132/1056,assoc/4
71/109,assoc/6
99/4535,assoc/5
42/7075,assoc/6
130/1381,assoc/2
119/6546,assoc/3
148/8198,assoc/6
72/7673,assoc/8
w/DanielWeiskopf,assoc/5
06/6238,assoc/1
27/6297,assoc/6
00/10753,assoc/3
92/4338,assoc/3
55/1550,assoc/3
95/9772,assoc/5
77/8977,assoc/6
49/1220,assoc/3
72/5904,assoc/7
16/3273,assoc/5
38/4496,assoc/7
w/ZhengWang,assoc/7
120/7682,assoc/3
147/1702,assoc/6
25/1055,assoc/5
36/5543,assoc/7
48/4595,assoc/1
36/2787,assoc/4
141/0649,assoc/1
62/11121,assoc/7
42/7323,assoc/7
06/10753,assoc/3
127/9766,assoc/1
b/AndreasButz,assoc/6
20/3849,assoc/8
d/StephanDiehl,assoc/1
50/6450,assoc/8
71/11105,assoc/2
64/1510,assoc/4
95/9190,assoc/4
128/0181,assoc/1
38/3595,assoc/1
12/2435,assoc/3
67/2413,assoc/7
125/2574,assoc/8
19/1046,assoc/7
148/7960,assoc/4
14/6306,assoc/3
81/3402,assoc/4
148/7836,assoc/5
f/SidneyFels,assoc/6
d/DumitruDumitrescu,assoc/1
76/11077,assoc/2
89/5529,assoc/4
72/1999,assoc/8
b/KelloggSBooth,assoc/7
83/1269,assoc/1
k/PaulBKantor,assoc/8
00/3600a,assoc/7
31/1379,assoc/4
82/4467,assoc/7
48/2429,assoc/1
55/9771,assoc/6
k/DanielAKeim,assoc/4
63/5236,assoc/8
48/4040,assoc/6
52/10889,assoc/4
122/5259,assoc/6
75/2613,assoc/6
68/3405,assoc/1
00/9530,assoc/6
33/10570,assoc/8
06/2243,assoc/7
67/1220,assoc/6
28/1851,assoc/7
148/7388,assoc/1
21/2592,assoc/6
85/3647,assoc/7
69/1477,assoc/6
64/2956,assoc/7
07/3584,assoc/8
84/467,assoc/8
119/6542,assoc/1
82/858,assoc/7
95/4130,assoc/2
00/4330,assoc/6
17/1422,assoc/2
148/2804,assoc/6
92/4738,assoc/1
14/4282,assoc/3
133/8560,assoc/6
21/6986,assoc/4
95/6333,assoc/4
37/8121,assoc/3
b/MichaelBurch,assoc/8
55/9191,assoc/5
06/4457,assoc/7
02/5336,assoc/6
27/10920,assoc/1
47/5841-2,assoc/8
28/2459,assoc/3
w/CarolynRWatters,assoc/4
148/8115,assoc/1
49/2935,assoc/3
71/4893,assoc/5
n/SKNandy,assoc/2
139/2228,assoc/6
63/5800,assoc/3
124/8742,assoc/4
132/1915,assoc/1
07/5608,assoc/5
28/3781,assoc/4
t/JamesJThomas,assoc/1
87/3352,assoc/8
81/482,assoc/8
24/10889,assoc/7
131/1752,assoc/5
67/1961,assoc/2
148/6854,assoc/4
97/3465,assoc/4
17/3574,assoc/4
25/4412,assoc/6
45/4363,assoc/4
85/5419,assoc/3
37/2206,assoc/3
n/PetraNeumann,assoc/7
56/11106,assoc/5
16/2583,assoc/6
54/1973,assoc/8
65/2401,assoc/4
85/2025,assoc/7
132/1740,assoc/4
67/1742,assoc/8
06/5204,assoc/7
20/9775,assoc/4
19/6137,assoc/3
k/AntonioKruger,assoc/7
13/10537,assoc/3
80/4171,assoc/3
119/8784,assoc/1
148/2988,assoc/3
